color_B,color_G,color_R,log_hu_moment_2,Categoria
-1.390799257150191,-1.0868535146199463,-1.1400501759738628,0.43957843975458455,Berenjena
-1.3020947439331216,-1.5110225132670947,-1.487268320295372,0.7700840347969524,Berenjena
-2.205867497506461,-1.945573919904201,-1.7314919915115154,0.9525039318178905,Berenjena
-2.7579883118688273,-2.5892408674656497,-2.479034930288223,0.6960209628896101,Berenjena
-1.093426644718655,-1.2614908037617056,-1.347147056459062,0.6415415680877932,Berenjena
-1.288291709577556,-1.2772875209144459,-1.3642388540697594,0.3572596557855771,Berenjena
-1.3066590658576935,-1.3154253019588324,-1.3373813250423432,0.6148254009948123,Berenjena
-1.4452410730719625,-1.694179343407675,-1.6856537949397998,0.5466565896275919,Berenjena
0.6648215869901767,-0.0156079239843339,0.09677818794691985,-0.02120498421575189,Camote
0.8568130536820089,-0.0022772245696725535,0.04191204082311134,0.09497830026052029,Camote
0.7559374938658452,-0.03299269147049227,0.08010458706189931,-0.030136466882752205,Camote
0.7477825371322426,0.0014506866523768518,0.07002847821690253,0.09794598153316332,Camote
0.9946083469186046,0.16852471587245965,0.20462494212178423,0.05255177745712441,Camote
1.0052574359287598,0.12070533500294792,0.14216945224579722,-0.017812337055828197,Camote
0.761047708973492,-0.050585888180298307,0.059175741015992815,-0.026070961710296717,Camote
0.8429697221604978,-0.040934533344228745,0.044294100062428586,0.10660967231895038,Camote
0.481111030447908,0.73925730743582,0.24771804710504888,1.0138147806826898,Papa
0.6252821427978772,0.8839614907856885,0.3797663777870222,0.8715640323892812,Papa
0.5778462515556921,0.8747697245333497,0.3553026498141703,0.958116622328767,Papa
0.567448816258788,0.8054135486088454,0.29727143863104133,1.0681090252317669,Papa
0.6801538792274905,1.1530579078961631,0.7888300344771082,0.8889908285810544,Papa
0.8886820832265512,1.044345958312954,0.4802175127160342,0.9610518679793564,Papa
0.5276720743730865,0.7933634769813889,0.30535509206983374,0.8269711262184538,Papa
0.42639872406759427,0.77199571496468,0.2644823114741921,1.1149809235371388,Papa
0.09016951803184393,0.6700562585948747,1.124338817471215,-1.6090323069690016,Zanahoria
-0.10516712990104074,0.59796082581951,1.0963349505552664,-1.5940577690281121,Zanahoria
0.3817236084063478,0.78345392149635,1.1081409231356132,-1.701441549032995,Zanahoria
0.11058882031102628,0.7003075531651854,1.1408726181885862,-1.608307825012015,Zanahoria
-0.05707871875859065,0.546737874163298,0.9652923280427844,-1.5159328894633273,Zanahoria
0.5367679109279883,0.7702121863382041,1.0860868822461993,-1.7064159502914042,Zanahoria
0.4366593691711783,0.6406282514810578,1.0823752789945826,-1.6463809267347351,Zanahoria
-0.007127962110919,0.7572693087434165,1.1107936563764207,-1.5973615558769358,Zanahoria
